("BerkeleyDBXML","0.6.2",Just "http://aur.archlinux.org/packages.php?ID=21905")
("bff","0.2",Just "http://aur.archlinux.org/packages.php?ID=21135")
("bimap","0.2.4",Just "http://aur.archlinux.org/packages.php?ID=17531")
("binary","0.5.0.1",Just "http://aur.archlinux.org/packages.php?ID=19402")
("binary-search","0.0",Just "http://aur.archlinux.org/packages.php?ID=17506")
("binary-strict","0.4.2",Just "http://aur.archlinux.org/packages.php?ID=17530")
("binarydefer","1.2",Just "http://aur.archlinux.org/packages.php?ID=22440")
("bindings","0.1.1",Just "http://aur.archlinux.org/packages.php?ID=24105")
("bindings-common","0.2.5",Just "http://aur.archlinux.org/packages.php?ID=27532")
("bindings-posix","0.0.2",Just "http://aur.archlinux.org/packages.php?ID=29508")
("bindings-libffi","0.0.2",Just "http://aur.archlinux.org/packages.php?ID=27779")
("bindings-libusb","0.0.7",Just "http://aur.archlinux.org/packages.php?ID=27630")
("bindings-sqlite3","0.0.2",Just "http://aur.archlinux.org/packages.php?ID=27533")
("bindings-uname","0.1",Just "http://aur.archlinux.org/packages.php?ID=27675")
("bio","0.4",Just "http://aur.archlinux.org/packages.php?ID=17575")
("bitarray","0.0.1",Just "http://aur.archlinux.org/packages.php?ID=27801")
("bitset","1.0",Just "http://aur.archlinux.org/packages.php?ID=17537")
("BitSyntax","0.3.2",Just "http://aur.archlinux.org/packages.php?ID=17827")
("bktrees","0.2.1",Just "http://aur.archlinux.org/packages.php?ID=17541")
("blas","0.7.6",Just "http://aur.archlinux.org/packages.php?ID=18098")
("blogination","0.5",Just "http://aur.archlinux.org/packages.php?ID=23856")
("bloomfilter","1.2.6",Just "http://aur.archlinux.org/packages.php?ID=17496")
("bool-extras","0.3.0",Just "http://aur.archlinux.org/packages.php?ID=26464")
("Boolean","0.0.0",Just "http://aur.archlinux.org/packages.php?ID=27821")
("boxes","0.1.1",Just "http://aur.archlinux.org/packages.php?ID=29266")
("bsd-sysctl","1.0.4",Just "http://aur.archlinux.org/packages.php?ID=27580")
("buster","2.51",Just "http://aur.archlinux.org/packages.php?ID=26203")
("buster-gtk","2.0",Just "http://aur.archlinux.org/packages.php?ID=26204")
("buster-network","1.2",Just "http://aur.archlinux.org/packages.php?ID=26206")
("byteorder","1.0.1",Just "http://aur.archlinux.org/packages.php?ID=23077")
("bytestring","0.9.1.4",Just "http://aur.archlinux.org/packages.php?ID=17970")
("bytestring-class","0.0.0",Just "http://aur.archlinux.org/packages.php?ID=27333")
("bytestring-csv","0.1.2",Just "http://aur.archlinux.org/packages.php?ID=18532")
("bytestring-lexing","0.2",Just "http://aur.archlinux.org/packages.php?ID=18529")
("bytestring-mmap","0.2.1",Just "http://aur.archlinux.org/packages.php?ID=17479")
("bytestring-show","0.3.2",Just "http://aur.archlinux.org/packages.php?ID=18621")
("bytestring-trie","0.1.4",Just "http://aur.archlinux.org/packages.php?ID=22469")
("bytestringparser","0.3",Just "http://aur.archlinux.org/packages.php?ID=17522")
("bytestringreadp","0.2",Just "http://aur.archlinux.org/packages.php?ID=17524")
("bzlib","0.5.0.0",Just "http://aur.archlinux.org/packages.php?ID=17520")
("c-io","0.1.0",Just "http://aur.archlinux.org/packages.php?ID=21020")
("cabalrpmdeps","0.0.4",Just "http://aur.archlinux.org/packages.php?ID=22435")
("caf","0.0.3",Just "http://aur.archlinux.org/packages.php?ID=25020")
("caldims","0.1.0",Just "http://aur.archlinux.org/packages.php?ID=21264")
("carray","0.1.4",Just "http://aur.archlinux.org/packages.php?ID=17497")
("category-extras","0.53.5",Just "http://aur.archlinux.org/packages.php?ID=17467")
("cautious-file","0.1.5",Just "http://aur.archlinux.org/packages.php?ID=28586")
("CC-delcont","0.2",Just "http://aur.archlinux.org/packages.php?ID=17469")
("cedict","0.2.5",Just "http://aur.archlinux.org/packages.php?ID=18747")
("cflp","2009.2.1",Just "http://aur.archlinux.org/packages.php?ID=22478")
("cgi","3001.1.7.1",Just "http://aur.archlinux.org/packages.php?ID=16014")
("cgi-undecidable","3000.0.0",Just "http://aur.archlinux.org/packages.php?ID=17593")
("chalkboard","0.2",Just "http://aur.archlinux.org/packages.php?ID=24146")
("chalkboard-viewer","0.1",Just "http://aur.archlinux.org/packages.php?ID=26173")
("chalmers-lava2000","1.0.2",Just "http://aur.archlinux.org/packages.php?ID=19245")
("Chart","0.11",Just "http://aur.archlinux.org/packages.php?ID=17735")
("ChasingBottoms","1.2.4",Just "http://aur.archlinux.org/packages.php?ID=17538")
("checked","0.1.0.0",Just "http://aur.archlinux.org/packages.php?ID=17498")
("checkers","0.2",Just "http://aur.archlinux.org/packages.php?ID=21099")
("chp","1.2.0",Just "http://aur.archlinux.org/packages.php?ID=17911")
("ChristmasTree","0.1",Just "http://aur.archlinux.org/packages.php?ID=22438")
("chunks","2007.4.18",Just "http://aur.archlinux.org/packages.php?ID=17527")
("citeproc-hs","0.2",Just "http://aur.archlinux.org/packages.php?ID=19920")
("CLASE","2009.2.11",Just "http://aur.archlinux.org/packages.php?ID=20180")
("classify","2008.11.17",Just "http://aur.archlinux.org/packages.php?ID=20860")
("clientsession","0.0.1",Just "http://aur.archlinux.org/packages.php?ID=26276")
("clock","0.1.2.1",Just "http://aur.archlinux.org/packages.php?ID=27797")
("cmath","0.3",Just "http://aur.archlinux.org/packages.php?ID=17647")
("cml","0.1.1",Just "http://aur.archlinux.org/packages.php?ID=25005")
("cmonad","0.1.1.1",Just "http://aur.archlinux.org/packages.php?ID=25066")
("Coadjute","0.0.1",Just "http://aur.archlinux.org/packages.php?ID=23237")
("Codec-Compression-LZF","0.2",Just "http://aur.archlinux.org/packages.php?ID=17578")
("Codec-Image-DevIL","0.1",Just "http://aur.archlinux.org/packages.php?ID=18919")
("codec-libevent","0.1.2",Just "http://aur.archlinux.org/packages.php?ID=17648")
("colock","0.2.2",Just "http://aur.archlinux.org/packages.php?ID=17546")
("colour","2.2.1",Just "http://aur.archlinux.org/packages.php?ID=20927")
("combinat","0.2.3",Just "http://aur.archlinux.org/packages.php?ID=21130")
("comonad-random","0.1.2",Just "http://aur.archlinux.org/packages.php?ID=28660")
("compact-map","2008.11.9",Just "http://aur.archlinux.org/packages.php?ID=21326")
("compact-string","0.3.1",Just "http://aur.archlinux.org/packages.php?ID=21912")
("complexity","0.1.3",Just "http://aur.archlinux.org/packages.php?ID=26168")
("concurrentoutput","0.2",Just "http://aur.archlinux.org/packages.php?ID=23554")
("condorcet","0.0.1",Just "http://aur.archlinux.org/packages.php?ID=17529")
("ConfigFile","1.0.5",Just "http://aur.archlinux.org/packages.php?ID=17828")
("containers","0.2.0.1",Just "http://aur.archlinux.org/packages.php?ID=19697")
("ContArrow","0.0.4",Just "http://aur.archlinux.org/packages.php?ID=17649")
("Control-Engine","1.1.0.1",Just "http://aur.archlinux.org/packages.php?ID=23562")
("control-event","1.1.0.1",Just "http://aur.archlinux.org/packages.php?ID=17539")
("control-monad-exception","0.2",Just "http://aur.archlinux.org/packages.php?ID=26175")
("control-monad-free","0.4",Just "http://aur.archlinux.org/packages.php?ID=19353")
("control-monad-omega","0.3",Just "http://aur.archlinux.org/packages.php?ID=17829")
("control-monad-queue","0.1",Just "http://aur.archlinux.org/packages.php?ID=27598")
("control-timeout","0.1.2",Just "http://aur.archlinux.org/packages.php?ID=17540")
("convertible","1.0.5",Just "http://aur.archlinux.org/packages.php?ID=23553")
("COrdering","2.3",Just "http://aur.archlinux.org/packages.php?ID=17542")
("core","0.5",Just "http://aur.archlinux.org/packages.php?ID=24688")
("CoreErlang","0.0.1",Just "http://aur.archlinux.org/packages.php?ID=21110")
("Coroutine","0.1.0.0",Just "http://aur.archlinux.org/packages.php?ID=22464")
("CouchDB","0.8.1.2",Just "http://aur.archlinux.org/packages.php?ID=19522")
("crack","0.1",Just "http://aur.archlinux.org/packages.php?ID=17650")
("crc16","0.1.0",Just "http://aur.archlinux.org/packages.php?ID=26208")
("Crypto","4.2.0",Just "http://aur.archlinux.org/packages.php?ID=17492")
("CSPM-Frontend","0.2.8.0",Just "http://aur.archlinux.org/packages.php?ID=28137")
("csv","0.1.1",Just "http://aur.archlinux.org/packages.php?ID=17544")
("ctemplate","0.1",Just "http://aur.archlinux.org/packages.php?ID=17726")
("curl","1.3.5",Just "http://aur.archlinux.org/packages.php?ID=17457")
("data-accessor","0.2.0.2",Just "http://aur.archlinux.org/packages.php?ID=17736")
("data-accessor-monads-fd","0.2",Just "http://aur.archlinux.org/packages.php?ID=24312")
("data-accessor-monads-tf","0.2.1",Just "http://aur.archlinux.org/packages.php?ID=26129")
("data-accessor-mtl","0.2",Just "http://aur.archlinux.org/packages.php?ID=24313")
("data-accessor-template","0.2.1.1",Just "http://aur.archlinux.org/packages.php?ID=19120")
